benchmark_band_id,reference_year,county,city,neighborhood_tier,property_type,min_eur_sqm,median_eur_sqm,max_eur_sqm,official_source_context,synthetic_adjustment_note
PB-CLUJ-NAPOCA-MUNICIPIU-OUTER-HOUSE,2025,Cluj,Cluj-Napoca,outer,house,1790,2130,2560,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-TIMISOARA-MUNICIPIU-CENTRAL-APARTMENT,2025,Timis,Timisoara,central,apartment,1640,1950,2340,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-TIMISOARA-MUNICIPIU-CENTRAL-HOUSE,2025,Timis,Timisoara,central,house,1760,2100,2520,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-APARTMENT,2025,Timis,Timisoara,semi-central,apartment,1390,1650,1980,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-HOUSE,2025,Timis,Timisoara,semi-central,house,1500,1780,2140,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-TIMISOARA-MUNICIPIU-OUTER-APARTMENT,2025,Timis,Timisoara,outer,apartment,1130,1350,1620,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-TIMISOARA-MUNICIPIU-OUTER-HOUSE,2025,Timis,Timisoara,outer,house,1230,1460,1750,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-IASI-MUNICIPIU-CENTRAL-APARTMENT,2025,Iasi,Iasi,central,apartment,1490,1770,2120,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-IASI-MUNICIPIU-CENTRAL-HOUSE,2025,Iasi,Iasi,central,house,1600,1910,2290,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-IASI-MUNICIPIU-SEMI-CENTRAL-APARTMENT,2025,Iasi,Iasi,semi-central,apartment,1260,1500,1800,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-IASI-MUNICIPIU-SEMI-CENTRAL-HOUSE,2025,Iasi,Iasi,semi-central,house,1360,1620,1940,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-IASI-MUNICIPIU-OUTER-APARTMENT,2025,Iasi,Iasi,outer,apartment,1030,1230,1480,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-IASI-MUNICIPIU-OUTER-HOUSE,2025,Iasi,Iasi,outer,house,1120,1330,1600,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-CONSTANTA-MUNICIPIU-CENTRAL-APARTMENT,2025,Constanta,Constanta,central,apartment,1740,2070,2480,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-CONSTANTA-MUNICIPIU-CENTRAL-HOUSE,2025,Constanta,Constanta,central,house,1870,2230,2680,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-CONSTANTA-MUNICIPIU-SEMI-CENTRAL-APARTMENT,2025,Constanta,Constanta,semi-central,apartment,1470,1750,2100,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-CONSTANTA-MUNICIPIU-SEMI-CENTRAL-HOUSE,2025,Constanta,Constanta,semi-central,house,1590,1890,2270,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-CONSTANTA-MUNICIPIU-OUTER-APARTMENT,2025,Constanta,Constanta,outer,apartment,1210,1440,1730,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-CONSTANTA-MUNICIPIU-OUTER-HOUSE,2025,Constanta,Constanta,outer,house,1300,1550,1860,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BRASOV-MUNICIPIU-CENTRAL-APARTMENT,2025,Brasov,Brasov,central,apartment,1780,2120,2540,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BRASOV-MUNICIPIU-CENTRAL-HOUSE,2025,Brasov,Brasov,central,house,1920,2290,2750,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BRASOV-MUNICIPIU-SEMI-CENTRAL-APARTMENT,2025,Brasov,Brasov,semi-central,apartment,1510,1800,2160,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BRASOV-MUNICIPIU-SEMI-CENTRAL-HOUSE,2025,Brasov,Brasov,semi-central,house,1630,1940,2330,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BRASOV-MUNICIPIU-OUTER-APARTMENT,2025,Brasov,Brasov,outer,apartment,1240,1480,1780,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BRASOV-MUNICIPIU-OUTER-HOUSE,2025,Brasov,Brasov,outer,house,1340,1590,1910,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
